url,energy,heating,price,area,rooms,fee,zipcode,construction_year,level,price_per_area
https://www.immowelt.de/expose/29mu45h,na,na,196470.0,22.2,2.0,3.57,13088.0,2024.0,24.0,8850.0
https://www.immowelt.de/expose/29j5s5g,na,na,238000.0,35.0,1.0,3.57,10559.0,1956.0,1.0,6800.0
https://www.immowelt.de/expose/29cxy5f,na,na,695000.0,94.0,4.0,3.57,14169.0,2001.0,1.0,7393.617021276596
https://www.immowelt.de/expose/29ajj5u,Fernwärme,"Fußbodenheizung, ",260000.0,31.5,3.0,3.57,13088.0,2024.0,24.0,8253.968253968254
https://www.immowelt.de/expose/29zaj5f,na,na,330000.0,88.0,3.0,3.57,14193.0,1900.0,2.0,3750.0
https://www.immowelt.de/expose/29j6g5f,na,na,225000.0,41.0,1.0,3.57,13357.0,1956.0,1.0,5487.804878048781
https://www.immowelt.de/expose/29q4g5f,na,na,999900.0,152.0,5.0,3.57,10247.0,1918.0,1.0,6578.289473684211
https://www.immowelt.de/expose/295bh5e,na,na,1001000.0,83.83,3.0,3.57,10719.0,1956.0,1.0,11940.832637480617
https://www.immowelt.de/expose/293hf5h,na,na,750000.0,85.68,3.0,4.76,10435.0,1904.0,1.0,8753.501400560224
https://www.immowelt.de/expose/29r3g5e,Gas,Etagenheizung,679970.0,100.19,3.0,3.57,12349.0,1983.0,1.0,6786.805070366304
https://www.immowelt.de/expose/29nyj5d,na,na,299000.0,45.0,2.0,3.57,12459.0,2010.0,1.0,6644.444444444444
https://www.immowelt.de/expose/29zbh5d,Öl,Zentralheizung,342000.0,62.0,2.0,3.57,12207.0,1970.0,1.0,5516.129032258064
https://www.immowelt.de/expose/29ypc5d,na,na,439000.0,97.0,4.0,3.57,12685.0,1956.0,1.0,4525.773195876289
https://www.immowelt.de/expose/296mf5c,na,na,419000.0,86.0,3.0,3.57,13439.0,1956.0,1.0,4872.093023255814
https://www.immowelt.de/expose/295gf5c,na,na,885000.0,132.0,3.0,3.57,14055.0,2003.0,1.0,6704.545454545455
https://www.immowelt.de/expose/29vh45c,Gas,"Kamin, ",1580000.0,331.0,7.0,3.57,10555.0,1910.0,5.0,4773.413897280967
https://www.immowelt.de/expose/29tmy5b,na,na,1390000.0,118.0,4.0,3.57,10405.0,1956.0,1.0,11779.661016949152
https://www.immowelt.de/expose/29sgy5b,na,na,465000.0,66.0,3.0,3.57,10625.0,1956.0,1.0,7045.454545454545
https://www.immowelt.de/expose/29c2t5b,Öl,Fußbodenheizung,220000.0,96.0,4.0,3.57,13439.0,1956.0,1.0,2291.6666666666665
https://www.immowelt.de/expose/297kr5a,na,na,270000.0,68.0,3.0,3.57,12159.0,1956.0,1.0,3970.5882352941176
https://www.immowelt.de/expose/29hgg5a,na,na,467000.0,66.0,3.0,3.57,10777.0,1956.0,1.0,7075.757575757576
https://www.immowelt.de/expose/29shf59,na,na,459000.0,90.0,3.0,3.57,12683.0,1956.0,1.0,5100.0
https://www.immowelt.de/expose/29xu458,Gas,Zentralheizung,458000.0,76.58,3.0,3.57,12105.0,1973.0,1.0,5980.673805171063
https://www.immowelt.de/expose/295l458,Gas,Zentralheizung,448000.0,76.58,3.0,3.57,12105.0,1973.0,1.0,5850.091407678245
https://www.immowelt.de/expose/29vz358,Gas,Zentralheizung,275000.0,43.43,1.0,3.57,12105.0,1973.0,1.0,6332.028551692379
https://www.immowelt.de/expose/29fz358,Gas,Zentralheizung,345000.0,56.76,2.0,3.57,12105.0,1994.0,1.0,6078.224101479916
https://www.immowelt.de/expose/29kuz56,Gas,Zentralheizung,1439000.0,129.17,3.0,3.57,10245.0,1900.0,1.0,11140.357668189208
https://www.immowelt.de/expose/29guz56,Gas,Zentralheizung,2499000.0,201.85,4.0,3.57,10245.0,1900.0,1.0,12380.480554867476
https://www.immowelt.de/expose/29cwz56,Gas,Zentralheizung,439000.0,57.13,2.0,3.57,10245.0,1900.0,1.0,7684.22895151409
https://www.immowelt.de/expose/296wz56,Gas,Zentralheizung,499000.0,51.41,2.0,3.57,10245.0,1900.0,4.0,9706.282824353239
https://www.immowelt.de/expose/29bwu55,Fernwärme,Fußbodenheizung,880040.0,62.86,2.0,3.57,10997.0,2022.0,1.0,14000.0
https://www.immowelt.de/expose/29a4s54,na,na,549000.0,62.0,2.0,3.57,10247.0,2015.0,1.0,8854.838709677419
https://www.immowelt.de/expose/29vj953,na,na,394000.0,100.04,3.0,3.57,10365.0,1900.0,3.0,3938.4246301479407
https://www.immowelt.de/expose/28aqt5z,Öl,Zentralheizung,165000.0,38.0,1.0,3.57,14195.0,1970.0,1.0,4342.105263157895
